"ROWNUM"	"name"	"adress"	"okrug"	"rayon"	"form_of_incorporation"	"submission"	"tip_uchrezhdeniya"	"vid_uchrezhdeniya"	"telephone"	"web_site"	"e_mail"	"lon"	"lat"	"global_id"	"metroname"	"lon2"	"lat2"
1760	"центр развития ребенка - Детский сад № 463"	"119 454 г.Москва, ул.Лобачевского, д. 56"	"Западный административный округ"	"район Проспект Вернадского"	"Государственное"	"Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Центр развития ребенка – Детский сад"	"431-77-12"	"crrds463.mskzapad.ru"	"crr463@mai.ru"	"37,493351"	"55,673736"	86890230			
57	"Детский сад комбинированного вида № 1623"	"119607, г. Москва, ул. Раменки, д. 13, корп. 3"	"Западный административный округ"	"район Раменки"	"Государственное"	"Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад комбинированного вида"	"932-28-21"	"http://dskv1623.mskzapad.ru/"	"detsad1623@mail.ru"	"37,496129"	"55,689705"	86660791			
118	"Детский сад № 2523 "" Академия детства"""	"119192 г.Москва, Мичуринский проспект, д. 5, корпус 3"	"Западный административный округ"	"район Раменки"	"Государственное"	"Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"	"(495) 544-53-85"	" (495) 641-35-17"	"ds2523.mskzapad.ru"	"37,513202"	"55,703085"	87029711			
224	"Детский сад комбинированного вида № 2475"	"119607, г.Москва, Мичуринский проспект, д. 17, корп. 4"	"Западный административный округ"	"район Раменки"	"Государственное"	"Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад комбинированного вида"	"734-24-00"	"dskv2475.mskzapad.ru/"	"dou2475@yandex.ru"	"37,508819"	"55,696377"	86887712			
317	"Детский сад № 818"	"119192,г. Москва, ул. Винницкая, д. 5А"	"Западный административный округ"	"район Раменки"	"Государственное"	"Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"	"931-42-18"	"dsovp818.mskzapad.ru"	"gou818@mail.ru"	"37,494234"	"55,697054"	86660757			
518	"Детский сад № 1382"	"119607, г.Москва, ул.Лобачевского, д. 96, корп. 1"	"Западный административный округ"	"район Раменки"	"Государственное"	"Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"	"(495) 931-41-00"	" (495) 931-56-18"	" (495) 931-56-22"	"37,484049"	"55,68387"	86660778			
521	"Детский сад комбинированного вида № 1565"	"119607 г. Москва, ул. Раменки, д.13, корп.2"	"Западный административный округ"	"район Раменки"	"Государственное"	"Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад комбинированного вида"	"(495) 931-04-12"	" (495) 932-04-44"	" (495) 931-16-85"	"37,497607"	"55,690542"	86660787			
540	"Детский сад № 1618"	"119607 г.Москва, Мичуринский проспект, д. 33, корп. 1"	"Западный административный округ"	"район Раменки"	"Государственное"	"Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"	"932-86-00"	"ds1618.mskzapad.ru"	"ds1618@yandex.ru"	"37,498898"	"55,693303"	86887729			
664	"Детский сад №996"	"Мичуринский проспект, квартал 5-6, д. 24"	"Западный административный округ"	"район Раменки"	"Государственное"	"Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"				"37,52524"	"55,713763"	86930673			
841	"Детский сад № 805"	"119285 г.Москва, 2-й Мосфильмовский переулок, д. 22-А"	"Западный административный округ"	"район Раменки"	"Государственное"	"Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"	"(499) 143-84-07"	" (499) 143-02-86"	"ds805.mskzapad.ru"	"37,522858"	"55,72831"	86660753			
966	"Детский сад № 2523 "" Академия детства"""	"119192 г.Москва, Мичуринский проспект, д. 5, корпус 3"	"Западный административный округ"	"район Раменки"	"Государственное"	"Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"	"(495) 544-53-85"	" (495) 641-35-17"	"ds2523.mskzapad.ru"	"37,513194"	"55,701869"	86930645			
980	"Детский сад № 2696"	"119192 г.Москва, Мичуринский проспект, д. 10"	"Западный административный округ"	"район Раменки"	"Государственное"	"Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"	"(499) 739-32-42"	" (499) 739-31-40"	" (499) 739-31-37"	"37,508478"	"55,704619"	86890248			
1003	"Детский сад № 1366"	"119192 г. Москва, ул. Винницкая, д. 17, корпус 1"	"Западный административный округ"	"район Раменки"	"Государственное"	"Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"	"931-53-55"	"ds1366.mskobr.ru"	"det1366@yandex.ru"	"37,489106"	"55,698033"	86660776			
1249	"Детский сад № 1463"	"119330, г.Москва, ул. Мосфильмовская, д. 17 А"	"Западный административный округ"	"район Раменки"	"Государственное"	"Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"	"(499) 143-03-03"		"down1463@mail.ru"	"37,517251"	"55,715138"	86660782			
1453	"Негосударственное образовательное учреждение Детский сад ""МИР ЧУДЕС"""		"Западный административный округ"	"район Раменки"	"Негосударственное"	"Негосударственное"	"Дошкольное образовательное учреждение"	"Детский сад"	"932-78-11,982-51-16"		"mgworldmg@gmail.com"	"37,639639"	"55,774334"	86930682			
1484	"центр развития ребенка - Детский сад № 1544"	"119607, г.Москва, ул. Раменки, д. 13, корп. 1"	"Западный административный округ"	"район Раменки"	"Государственное"	"Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Центр развития ребенка – Детский сад"	"932-20-80"	"crrds1544.mskzapad.ru"	"dou1544@mail.ru"	"37,499098"	"55,691383"	86887734			
1496	"Детский сад комбинированного вида № 1430"	"119607, г. Москва, ул. Удальцова, д. 87"	"Западный административный округ"	"район Раменки"	"Государственное"	"Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад комбинированного вида"	"932-43-00"	"dskv1430.mskzapad.ru"	"dou1430@mail.ru"	"37,487041"	"55,685556"	86660781			
1537	"Детский сад комбинированного вида № 1820"	"119607, г.Москва, ул. Винницкая, д. 11, корп.1"	"Западный административный округ"	"район Раменки"	"Государственное"	"Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад комбинированного вида"	"932-11-74"	"dskv1820.mskzapad.ru"	"julivp@rambler.ru"	"37,491893"	"55,697454"	86887410			
1614	"Детский сад № 333"	"119590, г.Москва, ул. Довженко, д. 8"	"Западный административный округ"	"район Раменки"	"Государственное"	"Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"	"(499) 147-91-03"	"ds333.mskzapad.ru"	"dou333@bk.ru"	"37,512477"	"55,721374"	86660737			
1624	"центр развития ребенка - Детский сад № 2312 ""ОАЗИС"""	"119330, г.Москва, Университетский проспект, д. 21, стр. 5"	"Западный административный округ"	"район Раменки"	"Государственное"	"Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Центр развития ребенка – Детский сад"	"143-15-16"	"crrds2312.mskzapad.ru"	"oazis2312@yandex.ru"	"37,520566"	"55,712797"	86890226			
1637	"Детский сад комбинированного вида № 797"	"119136, г.Москва, 2-й Сетуньский проезд, д. 12, корп. 1"	"Западный административный округ"	"район Раменки"	"Государственное"	"Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад комбинированного вида"	"(499) 240-84-20"	"dskv797.mskzapad.ru"	"dou797@mail.ru"	"37,535916"	"55,731335"	86660750			
1808	"Детский сад № 2699"	"119136, г.Москва, 2-й Сетуньский проезд, д. 12, корп. 2"	"Западный административный округ"	"район Раменки"	"Государственное"	"Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"	"(499) 240-84-29"	" (499) 240-81-62"	" (499) 240-84-92"	"37,535121"	"55,7312"	86890246			
1864	"Детский сад № 640"	"119330, г. Москва, ул. Дружбы, д. 4, корп. 3"	"Западный административный округ"	"район Раменки"	"Государственное"	"Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"	"143-04-46"	"ds1505.mskzapad.ru"	"GOUds1505@yandex.ru"	"37,517748"	"55,71268"	86914949			
136	"Детский сад № 2694"	"117335, г.Москва, улица Архитектора Власова, дом 11, корп.3"	"Юго-Западный административный округ"	"район Черёмушки"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"		"http://dsuz2694.mskobr.ru/"	"dou2694@ou.mosuzedu.ru"	"37,55503"	"55,678418"	87029930			
230	"Детский сад № 543"	"117246, г.Москва, улица Херсонская, дом 17 А"	"Юго-Западный административный округ"	"район Черёмушки"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"	"331-61-00"	"http://dsuz543.mskobr.ru"	"gouds543@mosuzedu.ru"	"37,562557"	"55,651792"	86896621			
304	"центр развития ребенка - Детский сад № 2695 ""Радость"""	"117209, г.Москва, Перекопская улица, дом 24А"	"Юго-Западный административный округ"	"район Черёмушки"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Центр развития ребенка – Детский сад"	"331-76-11"	"http://crruz2695.mskobr.ru"	"center2695@mosuzedu.ru"	"37,57335"	"55,661993"	86899607			
349	"Детский сад комбинированного вида № 1165"	"117335, г. Москва, ул. Профсоюзная, дом 38, корп. 2"	"Юго-Западный административный округ"	"район Черёмушки"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад комбинированного вида"	"128-69-79"			"37,558804"	"55,677186"	87028925			
600	"Детский сад № 466"	"""117246, г. Москва, ул. Обручева, д. 47 """"а"""""""	"Юго-Западный административный округ"	"район Черёмушки"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"	"331-53-77"	"http//dsuz466.mskobr.ru"	"dou466@ou.mosuzedu.ru"	"37,557417"	"55,652048"	86896616			
796	"Детский сад № 2481"	"117209, г. Москва, Севастопольский проспект, дом 28, корпус 6"	"Юго-Западный административный округ"	"район Черёмушки"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"	"718-23-50"		"2481@mail.ru"	"37,555078"	"55,664159"	86896747			
1016	"Детский сад № 2481"	"117209, г. Москва, Севастопольский проспект, дом 28, корпус 6"	"Юго-Западный административный округ"	"район Черёмушки"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"	"718-23-50"		"2481@mail.ru"	"37,574963"	"55,664544"	87029415			
1034	"Детский сад комбинированного вида № 1068"	"117418, г.Москва, улица Цюрупы, дом 11, корпус 2"	"Юго-Западный административный округ"	"район Черёмушки"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад комбинированного вида"	"331-67-11"	"http://dskuz1068.mskobr.ru"	"dou1068@mosuzedu.ru"	"37,572207"	"55,666527"	86896651			
1124	"Детский сад общеразвивающего вида № 1279"	"117418, г. Москва, улица Цюрупы, дом 15, корпус 1"	"Юго-Западный административный округ"	"район Черёмушки"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей"	"332-62-83"	"http://dsovp1279.mskobr.ru"	"gouds1279@mosuzedu.ru"	"37,568957"	"55,666446"	86896665			
1158	"Детский сад № 236"	"117418, г.Москва, ул. Новочеремушкинская, д.52, корп.1"	"Юго-Западный административный округ"	"район Черёмушки"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"	"128-39-23"		"dou236@mosuzedu.ru"	"37,563809"	"55,67078"	86896608			
1504	"Детский сад № 982"	"117209, г.Москва, Перекопская ул., дом 32"	"Юго-Западный административный округ"	"район Черёмушки"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"	"331-69-21"		"doukinder982@yandex.ru"	"37,567799"	"55,661796"	86896646			
1595	"Детский сад № 2660"	"117418, г.Москва, ул. Цюрупы, д. 22А"	"Юго-Западный административный округ"	"район Черёмушки"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"	"(499) 128-65-07"	"http://dsuz2660.mskobr.ru"	"surkova2660@mail.ru"	"37,569278"	"55,668716"	86890320			
1775	"Детский сад комбинированного вида № 1165"	"117335, г. Москва, ул. Профсоюзная, дом 38, корп. 2"	"Юго-Западный административный округ"	"район Черёмушки"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад комбинированного вида"	"128-69-79"			"37,557854"	"55,676316"	86896654			
1893	"Детский сад № 2694"	"117335, г.Москва, улица Архитектора Власова, дом 11, корп.3"	"Юго-Западный административный округ"	"район Черёмушки"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"		"http://dsuz2694.mskobr.ru/"	"dou2694@ou.mosuzedu.ru"	"37,547562"	"55,677015"	86890314			
51	"Детский сад компенсирующего вида № 549"	"117393, город Москва, улица Академика Пилюгина, дом 14Б"	"Юго-Западный административный округ"	"Ломоносовский район"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад компенсирующего вида"	"936-30-33"	"http://ds549.ru, http://dskuz549.mskobr.ru/"	"gou549@mosuzedu.ru"	"37,533002"	"55,672576"	86896622			
60	"Детский сад № 1432"	"119331, г.Москва, улица Марии Ульяновой, дом 17, корпус 1"	"Юго-Западный административный округ"	"Ломоносовский район"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"	"138-38-47"			"37,520446"	"55,680748"	86896677			
183	"Детский сад компенсирующего вида № 1505"	"117393, г.Москва, ул. Гарибальди, дом № 10, корп. 5"	"Юго-Западный административный округ"	"Ломоносовский район"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад компенсирующего вида"	"132-01-00"	"http://dskvuz1505.mskobr.ru"	"gou_1505@mail.ru"	"37,535587"	"55,671978"	86896684			
275	"Детский сад общеразвивающего вида № 1276"	"119311, г. Москва, ул. Строителей, д. 17А"	"Юго-Западный административный округ"	"Ломоносовский район"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей"	"930-09-90"		"gou_493@mail.ru"	"37,531152"	"55,687245"	86896664			
328	"центр развития ребенка - Детский сад № 2558"	"119261, г.Москва, Ленинский проспект, д. 76 А"	"Юго-Западный административный округ"	"Ломоносовский район"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Центр развития ребенка – Детский сад"	"131-91-92"	"http://crruz2558.mskobr.ru"	"centrdet2558@mail.ru"	"37,539166"	"55,689938"	86896764			
354	"Детский сад комбинированного вида № 1944"	"119331, г. Москва, ул. Марии Ульяновой, дом 25Б"	"Юго-Западный административный округ"	"Ломоносовский район"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад комбинированного вида"	"138-59-79"	"http://dskvuz1944.mskobr.ru/"	"gou1944@mosuzedu.ru"	"37,520292"	"55,681531"	86896693			
395	"центр развития ребенка - Детский сад № 2558"	"119261, г.Москва, Ленинский проспект, д. 76 А"	"Юго-Западный административный округ"	"Ломоносовский район"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Центр развития ребенка – Детский сад"	"131-91-92"	"http://crruz2558.mskobr.ru"	"centrdet2558@mail.ru"	"37,539494"	"55,687213"	87029059			
764	"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по художественно-эстетическому развитию детей № 1431"	"119313, г. Москва, Ленинский проспект, дом 88А"	"Юго-Западный административный округ"	"Ломоносовский район"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей"	"138-03-32"	"www.dsovp1431.mskobr.ru"	"dou1431@mosuzedu.ru"	"37,523666"	"55,67737"	86893849			
774	"Детский сад № 1774"	"117311, г.Москва, улица Кравченко, дом 12"	"Юго-Западный административный округ"	"Ломоносовский район"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"	"138-56-89"			"37,517268"	"55,678111"	86896689			
902	"Детский сад общеразвивающего вида № 515"	"117393, г.Москва, улица Гарибальди, дом 10А"	"Юго-Западный административный округ"	"Ломоносовский район"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей"	"132-20-22"	"http:dsouz515.mskobr.ru"	"gou515@mosuzedu.ru"	"37,537395"	"55,672643"	86896618			
1078	"Детский сад № 2186"	"119313, г.Москва, Ленинский проспект, дом 86 А"	"Юго-Западный административный округ"	"Ломоносовский район"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"	"138-18-08"	"http://dsuz2186.mskobr.ru/"	"gou2186@mosuzedu.ru"	"37,52638"	"55,677603"	86896711			
1237	"центр развития ребенка - Детский сад № 2558"	"119261, г.Москва, Ленинский проспект, д. 76 А"	"Юго-Западный административный округ"	"Ломоносовский район"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Центр развития ребенка – Детский сад"	"131-91-92"	"http://crruz2558.mskobr.ru"	"centrdet2558@mail.ru"	"37,536103"	"55,683541"	87029061			
1281	"Детский сад № 942"	"119313, г.Москва, ул.Гарибальди, д. 4а"	"Юго-Западный административный округ"	"Ломоносовский район"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад"	"134-45-03"			"37,534551"	"55,675846"	86896641			
1615	"Детский сад комбинированного вида № 693"	"117393, г.Москва, ул. Гарибальди, дом 14, корп.3"	"Юго-Западный административный округ"	"Ломоносовский район"	"Государственное"	"Юго-Западное окружное управление образования"	"Дошкольное образовательное учреждение"	"Детский сад комбинированного вида"	"(499) 132-20-83"	"http://dskuz693.mskobr.ru/"	"gou1609@mosuzedu.ru"	"37,538645"	"55,671967"	86923478			
